товары,median_delviery_time,plan_delivery_time,n_rows,mean_cost,std_cost,train_sample,precentege_std,baseline_mean_mape,baseline_std_mape,linear_mean_mape,linear_std_mape,catboost_mean_mape,catboost_std_mape,today_prediction,last_price
Зуб 1085.52.05-1,69.0,75,73,9134.237239,602.284793,54,0.065937,0.0,0.0,0.0327,0.021,0.061089,0.071138,9224.041862214961,9388.535031847134
Колесо 3519.05.02.006,139.0,220,54,365130.478887,109083.122734,39,0.298751,12.640331,14.447244,143.852,360.949,6.550194,7.241393,393392.4369861321,423566.8789808917
Вал 3536.11.01.002,124.0,280,32,233428.542994,53077.19466,24,0.227381,24.954722,14.950492,14.6251,13.951,7.935902,6.430322,295486.1045366027,321656.050955414
Вал 3519.05.02.083,205.0,330,26,265467.246448,33446.110431,18,0.12599,3.562355,3.917742,7.3704,4.6415,4.048922,3.752559,,315286.6242038216
Ось 3519.21.00.025,107.0,180,22,18491.603937,8438.31746,15,0.456332,38.293052,55.099867,51.4163,49.1862,10.94794,4.34813,18442.1772187444,18280.25477707006
Коромысло 3519.21.00.023,108.0,220,18,167182.014154,27669.278965,12,0.165504,16.050988,14.419305,31.0658,54.4411,5.411067,5.424545,162259.2851058645,185900.4585987261
Вал 3572.05.10.200,224.0,220,17,254809.741476,13064.105603,12,0.05127,4.612192,6.043061,4.0499,6.5345,5.999284,5.089663,,213375.7961783439
Вант стрелы 00.1606.49.1 ,72.0,70,24,388241.454352,64302.142058,18,0.165624,14.004953,17.348959,21.0059,4.93,22.188507,10.019942,,465688.5350318471
Засов 3532.01.02.007,47.0,60,24,13896.19931,1993.187524,18,0.143434,9.918709,10.015745,5.8587,6.3289,11.217132,4.090416,,16401.27388535032
Вал 3572.05.10.150,106.5,220,22,211202.652866,46355.784495,15,0.219485,3.88451,6.045484,5.1259,2.9812,3.405469,3.23836,,219745.2229299363
Сателлит 3536.11.01.028,72.0,90,9,24012.526539,6219.878154,6,0.259026,0.0,0.0,26.5314,14.0966,7.036577,3.808994,,21019.10828025478
ВАЛ-ШЕСТЕРНЯ 3536.11.01.002 ,79.0,280,7,204193.812557,71414.384066,3,0.349738,12.592721,18.230869,24.0978,18.2803,18.349331,16.26347,,280273.8853503185
Вал 3532.10.01.011,158.0,160,19,116694.602749,6202.987992,12,0.053156,5.430622,3.44319,4.3906,1.4667,4.740959,2.283101,119764.7906338872,121019.1082802548
Колесо 3519.05.02.003,142.5,180,15,362860.382166,176781.308802,9,0.487188,6.677302,14.930901,14.4612,14.6297,29.337653,31.240685,283549.7477123598,279490.4458598726
Ось 3519.05.02.082,124.0,90,20,58085.063694,21912.696971,15,0.377252,14.807781,25.374181,28.5243,15.088,16.94725,12.396274,,44076.43312101911
Ось 3519.05.02.081,226.0,280,18,539430.290163,95428.046836,12,0.176905,1.977223,4.421205,10.7715,8.3095,1.179466,2.016068,518019.9255839183,505222.9299363057
Колесо 3519.05.02.061,128.0,120,18,238099.0092,97137.165756,12,0.40797,2.385611,4.7973,42.565,22.1984,6.494596,6.442905,,228662.4203821656
Вал 3519.05.02.007,86.0,180,8,194556.449045,52431.915782,6,0.269495,4.310345,4.310345,163.8506,255.0462,3.38637,3.060367,,184713.3757961783
Ось 3536.03.00.001,123.0,165,11,320938.448176,62168.93225,6,0.19371,7.962172,9.804882,9.7078,11.7114,12.300348,10.849511,,251592.3566878981
Коромысло 3537.25.00.500 ,87.0,120,16,620943.71457,201113.591391,12,0.323884,5.406404,3.783534,12.187,9.8474,3.965019,3.829432,,592707.101910828
